"feature","coefficient","abs_coefficient"
"ENSG00000167767.14",0.484662409634623,0.484662409634623
"ENSG00000164283.13",0.406027307699329,0.406027307699329
"ENSG00000147724.12",-0.292864514380349,0.292864514380349
"ENSG00000105464.3",0.289509749883918,0.289509749883918
"ENSG00000172031.7",0.273579509605465,0.273579509605465
"ENSG00000143171.13",-0.198251085802551,0.198251085802551
"ENSG00000168748.14",-0.0983620995392694,0.0983620995392694
"ENSG00000144191.12",-0.0536181399917114,0.0536181399917114
"ENSG00000164379.7",0.0511744788046782,0.0511744788046782
"ENSG00000183034.13",-0.0428604711426688,0.0428604711426688
"ENSG00000171617.14",0.022348164699699,0.022348164699699
"ENSG00000226087.2",-0.0103700086165919,0.0103700086165919
